day,insurance,visitId,lengthPagecount,discount,whoweare,catalog,hour,application,lengthSeconds,howtojoin,referrerType
Tuesday,FALSE,2047,20,FALSE,FALSE,FALSE,19,FALSE,240,FALSE,NA
Tuesday,FALSE,2048,4,FALSE,FALSE,FALSE,20,FALSE,780,FALSE,NA
Tuesday,FALSE,2050,8,FALSE,FALSE,FALSE,20,FALSE,480,FALSE,NA
Tuesday,FALSE,2053,2,FALSE,FALSE,FALSE,20,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,2055,2,FALSE,FALSE,FALSE,20,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,2066,8,FALSE,FALSE,FALSE,20,FALSE,540,FALSE,NA
Tuesday,FALSE,2067,19,FALSE,FALSE,FALSE,21,FALSE,1920,FALSE,Other
Tuesday,FALSE,2070,3,FALSE,FALSE,FALSE,20,FALSE,120,FALSE,NA
Tuesday,FALSE,2076,3,FALSE,FALSE,FALSE,21,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,2081,3,FALSE,FALSE,FALSE,21,FALSE,120,FALSE,Catalogue
Tuesday,FALSE,2100,7,FALSE,FALSE,FALSE,22,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,2103,3,FALSE,FALSE,FALSE,22,TRUE,180,FALSE,NA
Tuesday,FALSE,2105,5,FALSE,FALSE,FALSE,23,FALSE,120,FALSE,NA
Tuesday,FALSE,2107,10,FALSE,FALSE,FALSE,23,FALSE,2460,FALSE,NA
Tuesday,FALSE,2110,4,FALSE,FALSE,FALSE,23,FALSE,600,FALSE,NA
Tuesday,FALSE,2112,8,FALSE,FALSE,FALSE,23,FALSE,720,FALSE,Fulltext
Tuesday,FALSE,2113,5,FALSE,FALSE,FALSE,23,FALSE,240,FALSE,Fulltext
Wednesday,FALSE,2114,7,FALSE,FALSE,FALSE,0,FALSE,1320,FALSE,NA
Wednesday,FALSE,2118,10,FALSE,FALSE,FALSE,0,FALSE,120,FALSE,NA
Wednesday,FALSE,2119,4,FALSE,FALSE,FALSE,0,FALSE,600,FALSE,NA
Wednesday,FALSE,2123,4,FALSE,FALSE,FALSE,1,FALSE,120,FALSE,Fulltext
Wednesday,FALSE,2130,5,FALSE,FALSE,FALSE,3,FALSE,180,FALSE,NA
Wednesday,FALSE,2131,2,FALSE,FALSE,FALSE,3,FALSE,540,FALSE,Fulltext
Wednesday,FALSE,2132,5,FALSE,FALSE,FALSE,3,FALSE,120,FALSE,NA
Wednesday,FALSE,2137,6,FALSE,FALSE,FALSE,7,FALSE,960,FALSE,NA
Wednesday,FALSE,2142,15,FALSE,FALSE,FALSE,7,FALSE,420,FALSE,NA
Wednesday,FALSE,2144,16,FALSE,FALSE,FALSE,8,FALSE,2460,FALSE,Fulltext
Wednesday,FALSE,2149,4,FALSE,FALSE,TRUE,8,FALSE,240,FALSE,NA
Wednesday,FALSE,2151,2,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,Partners
Wednesday,FALSE,2152,2,FALSE,FALSE,FALSE,8,FALSE,240,FALSE,Fulltext
Wednesday,FALSE,2156,10,FALSE,FALSE,FALSE,8,FALSE,840,FALSE,NA
Wednesday,FALSE,2158,5,FALSE,FALSE,FALSE,8,FALSE,540,FALSE,NA
Wednesday,FALSE,2160,3,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,NA
Wednesday,FALSE,2165,3,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,NA
Wednesday,FALSE,2168,4,TRUE,FALSE,FALSE,9,FALSE,660,FALSE,NA
Wednesday,FALSE,2171,6,FALSE,FALSE,FALSE,9,FALSE,120,FALSE,NA
Wednesday,FALSE,2174,6,FALSE,FALSE,FALSE,9,FALSE,180,FALSE,NA
Wednesday,FALSE,2175,2,FALSE,FALSE,FALSE,9,FALSE,120,FALSE,Fulltext
Wednesday,FALSE,2178,3,FALSE,FALSE,FALSE,9,FALSE,180,FALSE,NA
Wednesday,FALSE,2193,6,FALSE,FALSE,FALSE,9,FALSE,900,FALSE,NA
Wednesday,FALSE,2208,5,FALSE,FALSE,FALSE,10,FALSE,300,FALSE,Catalogue
Wednesday,FALSE,2217,6,FALSE,FALSE,FALSE,10,FALSE,420,FALSE,NA
Wednesday,FALSE,2221,3,FALSE,FALSE,TRUE,10,FALSE,120,FALSE,Catalogue
Wednesday,FALSE,2227,8,FALSE,FALSE,FALSE,10,FALSE,1440,FALSE,NA
Wednesday,FALSE,2232,3,FALSE,FALSE,FALSE,10,FALSE,300,FALSE,Catalogue
Wednesday,FALSE,2233,18,FALSE,FALSE,FALSE,10,FALSE,360,FALSE,Other
Wednesday,FALSE,2241,2,FALSE,FALSE,FALSE,10,FALSE,420,FALSE,NA
Wednesday,FALSE,2243,5,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,Fulltext
Wednesday,FALSE,2245,4,FALSE,FALSE,FALSE,11,FALSE,900,FALSE,NA
Wednesday,FALSE,2248,7,FALSE,FALSE,FALSE,11,FALSE,360,FALSE,NA
Wednesday,FALSE,2261,7,FALSE,FALSE,FALSE,11,FALSE,180,FALSE,Fulltext
Wednesday,FALSE,2269,2,FALSE,FALSE,FALSE,11,FALSE,300,FALSE,NA
Wednesday,FALSE,2276,3,FALSE,FALSE,FALSE,11,FALSE,240,FALSE,Fulltext
Wednesday,FALSE,2279,10,FALSE,FALSE,FALSE,12,FALSE,1020,FALSE,Fulltext
Wednesday,FALSE,2283,4,FALSE,FALSE,FALSE,12,FALSE,900,FALSE,NA
Wednesday,FALSE,2287,3,FALSE,FALSE,FALSE,12,FALSE,1140,FALSE,Fulltext
Wednesday,FALSE,2289,12,FALSE,FALSE,FALSE,11,FALSE,240,FALSE,NA
Wednesday,FALSE,2290,3,FALSE,FALSE,FALSE,12,FALSE,180,FALSE,Fulltext
